customer_id,first_name,last_name,gender,birth_date,email,city,state,loyalty_tier,loyalty_enrollment_date,credit_card_holder
19,Rebecca,Hernandez,Female,1977-10-05,ijohnson@yahoo.com,West Aaronfurt,IN,Base (Blue),2021-08-28,False
20,Ashley,Moreno,Female,1990-01-17,robertwoodward@gmail.com,Christopherbury,OR,Base (Blue),2023-07-07,True
21,Mercedes,Watson,Female,1975-12-10,carpenterwilliam@hotmail.com,Jonesshire,WI,Base (Blue),2024-04-12,False
22,Carlos,Carter,Male,1985-08-23,sara65@yahoo.com,Nelsonland,UT,Silver,2010-12-29,False
23,Patricia,Rodriguez,Female,1949-11-07,martinsteven@yahoo.com,New Michaelborough,AZ,Platinum,2025-01-06,False
24,Sarah,Davis,Female,1972-02-08,margaret90@gmail.com,Eddiebury,CO,Silver,2017-03-11,True
25,Amber,Evans,Female,1967-07-17,anthonysullivan@yahoo.com,North Steven,MA,Base (Blue),2025-05-31,False
26,Adam,Greer,Male,1950-02-07,davidcolon@yahoo.com,New Brendaland,AZ,Silver,2022-10-18,False
27,Stephanie,Ramos,Female,1944-12-24,christopherboone@yahoo.com,North Sheriton,TX,Base (Blue),2010-05-07,False
28,Samantha,Foster,Female,1979-08-15,reyesronald@yahoo.com,East Joshua,CO,Base (Blue),2012-09-03,False
29,Lucas,Jensen,Male,1950-09-14,victor87@gmail.com,West Patrickchester,NV,Silver,2017-02-05,False
30,Joseph,Mccoy,Male,2000-10-02,mayokimberly@yahoo.com,Stephensfort,AZ,Platinum,2013-03-05,False
31,Erica,Nelson,Female,1979-01-23,floresjeffery@yahoo.com,Port Victoriahaven,WI,Silver,2015-06-23,True
32,Crystal,Moore,Female,1980-04-22,dianeadams@hotmail.com,Port Wendybury,NY,Base (Blue),2015-09-09,False
33,James,Mcconnell,Male,2007-06-02,gregorywatkins@hotmail.com,Robintown,TX,Base (Blue),2019-03-01,False
34,Latoya,Thomas,Female,1964-07-05,marycochran@yahoo.com,Gregoryton,AZ,Base (Blue),2021-03-13,True
35,Colleen,Fox,Female,1956-05-31,riverachristina@gmail.com,Jennifermouth,TX,Silver,2011-06-09,True
36,Michele,Thomas,Female,1950-08-22,mathismichelle@gmail.com,Janetfurt,SC,Base (Blue),2010-12-13,False
37,Frank,Daugherty,Male,1963-06-26,fconner@hotmail.com,Grantside,NC,Silver,2019-04-30,False
38,Richard,Walker,Male,2003-10-04,nicholasgross@yahoo.com,East Jessica,FL,Base (Blue),2021-01-14,False
39,James,Gamble,Male,2005-02-08,whitelucas@hotmail.com,Lake Ariana,CA,Silver,2025-02-06,False
40,Patrick,Young,Male,1950-02-28,gary15@yahoo.com,West Jasonland,SC,Base (Blue),2024-11-27,False
41,Michelle,Williams,Female,1994-02-11,koconnor@yahoo.com,Maciasstad,PA,Base (Blue),2015-07-31,True
42,Karen,Shields,Female,1947-06-30,franciscojones@gmail.com,Andrewview,MN,Base (Blue),2018-09-10,False
43,Carolyn,Bennett,Female,1945-08-22,paynerachael@gmail.com,Brookefort,MN,Silver,2025-02-23,True
44,Martha,Lawson,Female,1969-12-04,gmoore@yahoo.com,East Robert,MN,Silver,2021-03-19,False
45,Joshua,Guerrero,Male,2003-07-15,john06@hotmail.com,Hernandezstad,MN,Silver,2018-10-27,False
46,Rodney,Weber,Male,1946-07-22,bgonzalez@gmail.com,Lake Kelly,AZ,Base (Blue),2010-01-23,False
47,Elizabeth,Sanders,Female,1997-12-21,qjacobson@gmail.com,Lopezfurt,NY,Base (Blue),2011-04-22,False
48,Deborah,Marshall,Female,1970-11-28,maryelliott@gmail.com,North Elizabethside,WI,Gold,2015-11-18,False
49,Darren,Brown,Male,1992-01-14,acardenas@hotmail.com,Armstrongbury,WI,Platinum,2016-08-03,False
50,Stephanie,Klein,Female,1945-12-19,davidtodd@gmail.com,East Lindsey,FL,Silver,2017-07-31,False
51,William,Graham,Male,1969-05-21,maryscott@hotmail.com,North Paulfurt,CA,Silver,2012-01-04,False
52,Kelly,Stark,Female,1998-11-05,buchanancindy@hotmail.com,Rodriguezberg,OR,Base (Blue),2018-10-15,False
53,Olivia,Ayers,Female,1980-07-29,hartcraig@yahoo.com,Natalieview,MI,Gold,2012-05-11,False
54,Lisa,Johnson,Female,1973-08-13,richard99@hotmail.com,Williamsmouth,HI,Base (Blue),2016-02-05,False
55,John,Adams,Male,1943-12-13,andrew44@yahoo.com,Garrisonville,OR,Base (Blue),2020-12-27,True
56,Elizabeth,Manning,Female,1956-02-05,joseph69@hotmail.com,East Scottchester,OR,Base (Blue),2025-06-24,False
57,Sean,Nicholson,Male,1992-03-29,cameronmckinney@yahoo.com,Port Melissa,TX,Base (Blue),2021-10-17,True
58,James,Whitaker,Other/Undisclosed,1942-07-25,wrightstephen@yahoo.com,West Micheal,SC,Base (Blue),2023-12-30,False
59,Tammy,Maldonado,Female,1967-08-03,nathanwheeler@gmail.com,Matthewsstad,NY,Base (Blue),2017-05-22,True
60,David,Rivas,Male,1997-07-22,mitchellpaul@gmail.com,Port Jeffrey,AZ,Platinum,2015-06-25,False
61,Marisa,Palmer,Female,1954-08-27,wellsdavid@gmail.com,East Johnnyport,FL,Base (Blue),2013-08-01,False
62,Desiree,Woodard,Female,1988-10-31,stephen37@yahoo.com,Silvatown,SC,Base (Blue),2021-05-06,False
63,Sarah,Brooks,Female,1985-08-20,kenneth17@gmail.com,Vanessamouth,IN,Base (Blue),2018-02-21,False
64,Michelle,Stafford,Female,1958-05-10,jacob83@gmail.com,Guerreroberg,AZ,Platinum,2023-09-17,False
65,Zachary,Green,Male,1985-03-01,vsullivan@gmail.com,West Jessica,WI,Silver,2021-06-24,False
66,Kristen,Knox,Other/Undisclosed,1976-12-13,william28@gmail.com,Connorberg,MI,Base (Blue),2013-07-16,False
67,Kristin,Gaines,Female,1989-11-28,destiny35@gmail.com,Robertmouth,IL,Base (Blue),2021-10-16,False
68,John,Wilson,Male,1980-05-31,delacruzbrandy@hotmail.com,South Pamelahaven,OH,Base (Blue),2015-12-01,False
69,Joseph,Gutierrez,Male,1986-11-19,derrickgonzalez@yahoo.com,Thomasburgh,IL,Silver,2011-11-28,False
70,Lynn,Thompson,Female,1973-10-02,smithjoshua@gmail.com,South Kristen,FL,Base (Blue),2022-05-25,True
71,Jessica,Jordan,Female,1949-05-25,ysanford@gmail.com,New Jamesstad,NY,Base (Blue),2022-05-30,False
72,Nicole,Schmidt,Female,2001-04-02,rhodescourtney@gmail.com,Lake Natalie,HI,Platinum,2025-02-13,False
73,Kathy,Torres,Female,1947-07-31,colonkenneth@yahoo.com,Lunahaven,DC,Silver,2014-12-20,True
74,Whitney,Cooper,Female,2000-12-23,mhoward@gmail.com,Smithbury,UT,Silver,2015-05-18,False
75,Morgan,Lawrence,Female,1949-07-08,daviddawson@gmail.com,Mcdowellview,CA,Diamond,2021-07-29,False
76,Kirk,Williams,Male,1982-12-20,valdezandrew@hotmail.com,South Seanville,SC,Silver,2022-04-11,False
77,Brittany,Neal,Female,1972-11-08,turnerdorothy@hotmail.com,Cindyberg,PA,Base (Blue),2018-09-17,True
78,Kayla,Williamson,Female,2001-09-14,daniel17@gmail.com,Port Jose,MA,Base (Blue),2016-08-31,True
79,Michael,Phillips,Male,1954-04-23,kelleyrenee@hotmail.com,Riveratown,NY,Platinum,2018-04-30,False
80,Brian,Andrews,Male,1946-08-25,fhernandez@hotmail.com,Lake Jenniferview,FL,Gold,2010-03-16,True
81,William,Baker,Male,1971-08-28,garciagregg@gmail.com,Michaelmouth,OR,Base (Blue),2020-04-03,False
82,Sarah,Zamora,Female,1948-06-23,christianelizabeth@gmail.com,Michaelmouth,FL,Gold,2016-10-12,False
83,Morgan,Watson,Female,1958-11-04,ian66@yahoo.com,Maryfort,NY,Base (Blue),2025-03-14,False
84,Rebecca,Wilson,Female,1984-09-19,jarvismegan@gmail.com,Pruittfort,IN,Gold,2022-09-24,False
85,Catherine,James,Female,1986-09-23,cheryl27@yahoo.com,South Scottland,NC,Base (Blue),2022-10-08,True
86,Michael,Gregory,Male,1961-12-18,tiffanysantiago@yahoo.com,South Dorothybury,HI,Base (Blue),2014-03-01,False
87,Martin,Hernandez,Male,1985-09-23,smithsarah@hotmail.com,Christianburgh,MA,Silver,2017-09-02,False
88,John,Cordova,Other/Undisclosed,1974-01-11,hunterandrea@yahoo.com,Montoyaland,AZ,Base (Blue),2011-03-12,False
89,Jerome,Gates,Male,1995-01-30,fstewart@hotmail.com,North Richardton,OR,Silver,2017-04-22,False
90,Ann,Munoz,Female,1940-08-10,pamela83@hotmail.com,Clementsstad,IN,Base (Blue),2018-11-13,False
91,Sarah,Rivera,Female,1996-02-15,xmoran@hotmail.com,Wilsonbury,OH,Gold,2023-02-19,False
92,Madeline,Marsh,Female,1964-09-29,jacqueline02@yahoo.com,Port Jennifer,OH,Gold,2010-01-13,False
93,Levi,Lopez,Male,1947-11-14,ylewis@gmail.com,Danielchester,SC,Silver,2021-06-26,False
94,Megan,Martinez,Female,1983-08-28,lellis@hotmail.com,South Adam,VA,Base (Blue),2010-09-28,False
95,Jeffrey,Richards,Male,1978-03-20,heatherthompson@gmail.com,South Dianemouth,OR,Silver,2021-09-19,True
96,Veronica,Moon,Female,1966-10-02,joshuastuart@yahoo.com,Ballardberg,GA,Base (Blue),2018-01-09,False
97,Nicole,Evans,Female,1988-03-13,jennifer83@gmail.com,New Jennifer,OH,Base (Blue),2016-07-27,False
98,Brandi,Page,Female,2003-03-28,williambenson@yahoo.com,Port Michaelfort,SC,Diamond,2020-12-05,False
99,Michael,Craig,Male,2004-09-12,natalie60@hotmail.com,North Oscarton,TN,Base (Blue),2019-04-11,True
100,Paul,Martin,Male,1954-03-10,frances20@hotmail.com,Jamesside,NC,Gold,2020-09-01,False
101,Ashley,Parrish,Female,1995-12-13,juliahoffman@gmail.com,Heatherton,GA,Silver,2010-07-07,False
102,Tyler,Daugherty,Male,1966-12-13,tammy00@hotmail.com,Jamesmouth,WA,Silver,2024-09-29,False
103,Michael,Holland,Male,2002-07-30,kimberlybrandt@yahoo.com,Thompsonland,NC,Base (Blue),2023-03-18,False
104,Kayla,Bennett,Female,1952-05-31,qramirez@gmail.com,New Meghan,TN,Base (Blue),2012-12-22,False
105,Teresa,Williams,Female,1972-04-22,candice94@yahoo.com,Charlesmouth,IN,Base (Blue),2010-02-02,True
106,Joseph,Hartman,Male,2005-09-02,robertherrera@gmail.com,Jeffreyborough,IL,Platinum,2018-05-13,True
107,Edward,Clements,Male,1963-02-09,wbarajas@hotmail.com,North Elizabethmouth,TX,Base (Blue),2020-07-22,False
108,Tamara,Sanchez,Female,1984-04-08,flemingmanuel@gmail.com,Scottport,FL,Base (Blue),2013-10-29,False
109,Randy,Robertson,Male,1975-09-29,stucker@hotmail.com,West Willie,GA,Base (Blue),2010-05-24,True
110,Tina,Medina,Female,1951-12-24,simsjason@hotmail.com,Port Gina,WA,Base (Blue),2025-02-02,True
111,Sandra,Johns,Female,1954-07-29,elucas@hotmail.com,North Stephen,CA,Gold,2023-04-20,False
112,Amy,Bauer,Female,1946-07-19,andrewsjeremy@yahoo.com,Hughesfurt,HI,Platinum,2015-04-13,False
113,Megan,Nichols,Female,1941-09-29,avilabrenda@hotmail.com,West Sarahville,SC,Base (Blue),2016-11-22,False
114,Lawrence,Campbell,Male,1987-03-28,qjames@gmail.com,Moorebury,NV,Silver,2014-08-12,False
115,Robert,Gardner,Male,1967-03-09,kennetheaton@hotmail.com,Susantown,MN,Base (Blue),2012-03-03,False
116,Bryce,Smith,Male,1978-05-05,fmedina@yahoo.com,Lake Judith,CA,Base (Blue),2018-10-23,False
117,Taylor,York,Male,1954-12-29,eugenewalker@yahoo.com,North Howard,WI,Base (Blue),2021-07-21,False
118,Sarah,Randolph,Female,1998-07-20,enewman@yahoo.com,West Coreyshire,VA,Silver,2022-09-23,False
119,Carl,Rios,Male,1963-02-04,mitchellchad@gmail.com,Toddmouth,GA,Silver,2017-10-03,False
120,Lauren,Cunningham,Female,1961-05-20,lindsey62@gmail.com,Johnbury,MN,Gold,2019-10-23,True
121,Donald,Ward,Male,1984-03-04,natalie77@yahoo.com,Tonyville,WI,Base (Blue),2021-05-03,True
122,Ryan,Trevino,Male,1981-11-05,patriciagonzalez@hotmail.com,Lake Charlestown,DC,Base (Blue),2012-10-18,False
123,Robin,Riley,Female,1983-07-19,rebeccaarnold@hotmail.com,Valdezberg,UT,Base (Blue),2023-07-10,False
124,Patricia,Quinn,Female,1955-10-13,dennis88@gmail.com,Coxtown,NV,Base (Blue),2015-10-28,False
125,Renee,Mendez,Female,1998-04-05,katherinetaylor@gmail.com,New Stacy,AZ,Gold,2020-07-19,True
126,Nancy,Webb,Female,2006-05-27,billy73@gmail.com,Miketon,CO,Silver,2020-06-30,False
127,Rebecca,Hughes,Female,1975-10-24,ckeith@hotmail.com,Dakotahaven,TX,Base (Blue),2020-08-22,True
128,Patrick,Lane,Male,1959-03-12,nicholasgray@hotmail.com,New Johnbury,WA,Base (Blue),2020-01-31,False
129,Sean,Tucker,Male,1964-08-04,aeaton@hotmail.com,South Gabriel,FL,Base (Blue),2018-03-21,False
130,Christine,Lopez,Female,1984-05-09,carolyn13@yahoo.com,Jenniferfort,IL,Platinum,2011-03-25,True
131,Kevin,Holland,Male,1973-03-03,cjohnson@gmail.com,East Crystal,WI,Base (Blue),2020-09-30,False
132,Anthony,Scott,Male,1979-07-06,zacharysullivan@hotmail.com,Lake Jessicaport,TX,Silver,2010-08-16,True
133,Lisa,Ruiz,Female,1955-04-29,ajackson@hotmail.com,Port Brandi,IN,Silver,2025-01-28,False
134,Jorge,Jackson,Male,1982-12-22,sandra99@gmail.com,South Paul,HI,Silver,2022-03-20,False
135,Scott,Gordon,Male,1954-05-10,mserrano@gmail.com,South Rachel,OH,Base (Blue),2011-09-24,True
136,Joseph,Goodwin,Male,2000-04-13,olsondavid@hotmail.com,Port Erikachester,MN,Silver,2019-07-19,True
137,Amanda,Moreno,Female,1965-10-13,shawnaolson@yahoo.com,Briannashire,MI,Platinum,2018-04-23,False
138,Karen,Hall,Female,1949-09-13,campbellnancy@yahoo.com,Jacobtown,CA,Base (Blue),2011-07-23,True
139,Adrienne,Pena,Female,1948-08-10,robert12@yahoo.com,Joseside,WA,Base (Blue),2019-03-14,True
140,Donald,Becker,Male,1965-06-17,robertbowers@yahoo.com,West Angie,IN,Base (Blue),2016-09-28,False
141,Kenneth,Schroeder,Male,2007-10-25,qfitzgerald@gmail.com,South Krista,OH,Base (Blue),2017-09-13,False
142,Katie,Hartman,Female,1947-06-01,martintamara@gmail.com,Port Dustinchester,MI,Gold,2025-02-08,True
143,Jacob,Lynch,Male,1958-06-27,zarias@hotmail.com,Jenniferton,SC,Silver,2011-05-28,False
144,Margaret,Gonzales,Female,1996-05-16,melissagalvan@hotmail.com,Jameshaven,MN,Silver,2025-01-19,False
145,Caroline,Johnson,Female,1956-05-08,dianacantrell@gmail.com,Kimberlystad,NC,Silver,2018-03-18,False
146,Curtis,Smith,Male,1968-03-02,calhounandrea@hotmail.com,Michaelview,CO,Base (Blue),2020-08-28,False
147,Jordan,Powell,Female,2006-01-31,greenrichard@gmail.com,New Kellyville,SC,Base (Blue),2013-08-08,True
148,Sherri,Li,Female,2005-08-26,heather69@yahoo.com,Port Matthew,AZ,Base (Blue),2022-10-12,True
149,Steven,Atkins,Male,1986-12-11,ewilson@yahoo.com,Lake Jacqueline,PA,Base (Blue),2022-05-06,False
150,Heather,Nichols,Female,1968-08-22,john16@hotmail.com,Charlesburgh,OH,Base (Blue),2022-09-26,True
151,Stephanie,Adams,Female,1964-08-20,victorgonzalez@hotmail.com,Port Joseph,CO,Base (Blue),2017-08-02,False
152,Russell,Kelly,Male,1997-05-16,wilsonchristian@hotmail.com,Austinside,AZ,Silver,2013-08-25,True
153,Jacqueline,Stewart,Female,1998-04-06,travis84@yahoo.com,Port Barbara,NC,Platinum,2025-03-31,False
154,John,Fernandez,Male,1994-12-12,phillip27@gmail.com,Stewarttown,UT,Base (Blue),2010-11-11,False
155,Kevin,Nguyen,Male,1954-12-05,jacob43@yahoo.com,Mullenmouth,IN,Base (Blue),2010-03-10,False
156,Christine,Haynes,Female,1974-07-06,michael64@yahoo.com,New David,DC,Base (Blue),2015-10-29,False
157,Brett,Nelson,Male,1956-02-20,angelachase@gmail.com,Port Susan,NY,Base (Blue),2019-03-02,True
158,Cassandra,Porter,Female,1995-05-20,kristen44@hotmail.com,South Coreyburgh,FL,Base (Blue),2012-05-19,False
159,John,Soto,Male,1995-12-08,qgarner@yahoo.com,Annview,AZ,Base (Blue),2010-12-15,False
160,Heather,Frazier,Female,1968-08-05,barbarasantos@hotmail.com,Port Justin,NY,Base (Blue),2015-06-24,False
161,Raymond,Griffin,Male,1975-04-22,jamesjustin@hotmail.com,Port Gary,IL,Gold,2015-03-05,True
162,Mark,Duncan,Male,1963-07-16,millermatthew@yahoo.com,Deniseview,SC,Gold,2022-11-09,False
163,Stacy,Norman,Female,1967-06-27,julie87@yahoo.com,East Melissa,SC,Base (Blue),2019-08-21,False
164,Darlene,Manning,Female,1956-07-20,clarkrandy@gmail.com,South Amytown,HI,Base (Blue),2011-12-28,True
165,Whitney,Garcia,Female,1976-03-24,christopherhuynh@yahoo.com,Jeromeport,PA,Silver,2022-04-09,False
166,Kelsey,Jackson,Female,1949-03-11,alvaradomichelle@yahoo.com,Mcdonaldside,DC,Platinum,2017-01-20,False
167,Chad,Fry,Male,1977-11-24,brittanybryant@hotmail.com,Millsside,SC,Diamond,2024-11-17,False
168,Joshua,Ballard,Male,1964-03-15,aparker@yahoo.com,West Alex,IL,Base (Blue),2014-12-06,False
169,Brandy,Mitchell,Female,1992-02-28,wattstravis@yahoo.com,Albertchester,MI,Base (Blue),2018-05-01,True
170,Robert,Kelley,Male,1981-03-11,robertcastro@yahoo.com,East Jennifer,MA,Gold,2022-09-13,False
171,Connie,Miller,Female,1996-12-05,zacharymarsh@hotmail.com,Justinside,NV,Gold,2020-04-13,False
172,Sarah,White,Female,1968-09-03,daniel79@yahoo.com,Jackiefort,OH,Silver,2022-11-15,True
173,Amber,Nichols,Female,1941-11-30,teresacampbell@gmail.com,Acostabury,MI,Platinum,2012-12-27,False
174,Claudia,Fisher,Female,1941-08-06,dbolton@hotmail.com,West Christopherberg,GA,Gold,2011-06-09,False
175,Andrea,Harrison,Female,1993-05-04,paulawright@yahoo.com,North Theresabury,UT,Base (Blue),2010-11-22,True
176,David,Vang,Male,2006-11-23,stevenwise@hotmail.com,South Paul,IL,Base (Blue),2016-02-15,True
177,Christopher,Chandler,Male,2004-04-04,kingdanielle@gmail.com,Paigeborough,UT,Base (Blue),2025-04-19,True
178,Jeffrey,Smith,Male,1956-08-22,brenda63@gmail.com,New Kristenfort,IN,Silver,2025-06-28,True
179,Patricia,Wright,Female,1951-02-19,ndavis@yahoo.com,North Michaelberg,CA,Gold,2020-12-15,False
180,Calvin,Hall,Male,1994-06-01,linda73@gmail.com,Howardberg,IN,Base (Blue),2021-02-28,True
181,Michelle,Hansen,Female,1943-04-13,llopez@hotmail.com,Mariomouth,NC,Base (Blue),2013-12-28,True
182,Suzanne,Spencer,Female,1997-02-16,schmidtshannon@yahoo.com,Shawnhaven,IL,Gold,2014-05-20,False
183,Albert,Vincent,Male,1953-03-19,malikbrown@hotmail.com,Leefort,TX,Gold,2016-01-13,True
184,Douglas,Ortiz,Male,1951-01-29,daniel81@gmail.com,East Morgan,NY,Base (Blue),2022-03-10,False
185,Corey,Duncan,Other/Undisclosed,1973-08-08,hbarrett@hotmail.com,Brandonbury,GA,Silver,2013-03-20,False
186,Timothy,Clark,Male,1945-06-01,fhebert@yahoo.com,West Angelachester,PA,Base (Blue),2019-08-24,False
187,Anthony,Jensen,Male,1994-08-09,navarromary@gmail.com,New Colton,WI,Base (Blue),2023-01-31,False
188,Jake,Fox,Other/Undisclosed,1976-09-30,ashleymeza@hotmail.com,Reeseshire,AZ,Base (Blue),2021-07-17,False
189,Maurice,Andrade,Male,1971-10-16,laurapierce@hotmail.com,Dianeside,WA,Platinum,2015-09-12,False
190,Harold,Edwards,Male,1970-09-21,megan66@hotmail.com,Charleneshire,CA,Diamond,2025-11-21,False
191,Krista,Garner,Female,1966-02-06,suzanne76@gmail.com,West Caitlinhaven,NV,Base (Blue),2018-09-07,False
192,Abigail,Joyce,Female,2001-02-19,melissasmith@hotmail.com,Samanthahaven,OR,Silver,2012-02-25,False
193,Brittney,Johnson,Female,2003-07-24,eric45@hotmail.com,East Jonathan,TN,Silver,2018-11-08,False
194,Keith,Robinson,Male,1979-05-23,cummingslaura@gmail.com,Petersenshire,MA,Base (Blue),2014-10-12,True
195,Maria,Johnson,Female,1947-01-30,dmiller@yahoo.com,Nicholechester,DC,Platinum,2023-01-16,True
196,Sergio,Perez,Male,1999-08-11,walterscrystal@gmail.com,Alicemouth,OR,Base (Blue),2016-08-18,False
197,Jonathan,Walker,Male,1950-10-08,nunezwendy@yahoo.com,East Ryanfurt,SC,Silver,2018-08-05,True
198,Karen,Mcgee,Female,1963-06-16,zbaker@hotmail.com,Ayalaberg,FL,Base (Blue),2012-05-10,False
199,Craig,Foster,Male,1973-04-19,annshea@hotmail.com,East Charles,MN,Base (Blue),2022-02-16,False
200,Tammy,Davis,Female,1962-08-03,whenderson@gmail.com,Melvintown,NV,Platinum,2022-05-13,False
201,Hannah,Underwood,Female,1952-02-08,chanson@gmail.com,East Gina,WI,Silver,2022-04-02,False
202,Angelica,Singh,Female,1990-02-18,stacymcintosh@yahoo.com,West Heatherville,MI,Silver,2012-06-25,False
203,Gary,Singh,Male,1972-08-20,jamesmills@yahoo.com,Deanberg,AZ,Silver,2014-11-09,False
204,James,Escobar,Male,1986-01-14,scottbrian@gmail.com,Briantown,GA,Base (Blue),2021-01-23,False
205,Mary,Durham,Female,1985-07-02,michelle04@hotmail.com,Hallfurt,CO,Silver,2011-01-23,True
206,Stephanie,Washington,Female,1988-11-08,lopezvincent@yahoo.com,North Johnhaven,MN,Platinum,2018-02-04,True
207,Patrick,Smith,Male,1973-11-29,michael43@hotmail.com,Lisaview,TX,Base (Blue),2014-11-08,True
208,Robin,Johnson,Female,2001-02-21,jeremiah56@hotmail.com,North Jessica,HI,Base (Blue),2023-12-26,False
209,Shelley,Parks,Female,1986-09-13,jallen@yahoo.com,Reneemouth,AZ,Platinum,2018-04-15,False
210,Marissa,Carpenter,Female,1949-07-22,michelleparker@hotmail.com,South Wendy,HI,Silver,2017-02-24,False
211,Timothy,Stark,Male,1950-06-20,carlos81@gmail.com,Maryberg,NV,Base (Blue),2025-07-13,False
212,Spencer,Gutierrez,Male,1992-08-24,vturner@hotmail.com,Edwinborough,TN,Platinum,2021-07-28,False
213,Pamela,Salazar,Female,1953-02-27,catherine93@hotmail.com,East Grace,VA,Gold,2011-09-13,False
214,John,Shaw,Male,1987-05-23,xjoseph@gmail.com,Henryberg,AZ,Base (Blue),2015-09-20,False
215,Jennifer,Novak,Female,1955-12-25,stephanie33@gmail.com,East Saramouth,IL,Base (Blue),2012-08-10,False
216,Erika,Ellis,Female,1973-11-29,ronaldparsons@hotmail.com,Cortezfurt,NY,Base (Blue),2023-10-20,True
217,Kirk,Fox,Male,1991-01-31,meyershannon@gmail.com,New Amanda,NV,Base (Blue),2019-09-25,False
218,James,Hubbard,Male,1943-04-07,leescott@yahoo.com,Stevenchester,GA,Gold,2025-08-29,False
219,Michael,Mckee,Male,2003-02-03,cgallegos@gmail.com,East Kimberlyside,TX,Gold,2014-09-08,False
220,Joanne,White,Female,1968-09-19,nicoledavis@yahoo.com,Lake Jessica,WA,Gold,2012-02-26,False
221,Madison,Miller,Female,1988-08-14,gacosta@hotmail.com,South Andrea,OH,Base (Blue),2011-06-15,True
222,Frances,Savage,Female,1952-03-20,fernandothomas@hotmail.com,South Kylemouth,CO,Silver,2010-09-13,True
223,Stephanie,Horne,Female,1952-11-18,deanjohnny@yahoo.com,Foleyside,TN,Base (Blue),2014-08-06,True
224,Johnny,Robinson,Male,1981-12-09,cchavez@gmail.com,East Nicoleview,FL,Base (Blue),2022-11-07,False
225,Samantha,Williams,Female,1978-07-05,brianbailey@gmail.com,Lake Belindaport,MN,Base (Blue),2019-11-12,True
226,Brian,Chaney,Male,1946-07-24,emilycarr@hotmail.com,South Kara,AZ,Platinum,2015-04-09,True
227,Randy,Morris,Male,1943-01-13,wwilkins@yahoo.com,West Thomasville,NY,Silver,2015-09-25,False
228,Kelsey,Warren,Female,1959-04-04,cherylrodriguez@hotmail.com,South Jenniferport,MA,Base (Blue),2021-01-20,False
229,David,Andrews,Male,1998-03-31,sara99@yahoo.com,Vasquezburgh,AZ,Gold,2016-10-18,True
230,Donna,Lee,Female,1956-06-03,johnsoncolleen@gmail.com,Port Christina,HI,Platinum,2024-01-24,False
231,Michael,Shaffer,Other/Undisclosed,1943-09-09,alexharris@yahoo.com,Kristyport,NV,Silver,2016-08-07,False
232,Randall,Wilson,Male,1977-12-30,matthew99@gmail.com,East Mark,DC,Silver,2014-10-12,True
233,Thomas,Robles,Male,1986-04-29,timothyburton@hotmail.com,Stevenchester,MN,Silver,2015-05-19,True
234,Joseph,Cunningham,Male,1944-05-28,angela03@hotmail.com,Laurenstad,NV,Silver,2024-10-07,False
235,Sara,Morgan,Female,1950-10-01,ksims@hotmail.com,Lopezville,IL,Base (Blue),2011-01-20,False
236,Michele,Edwards,Female,1991-09-14,nelsonchristopher@gmail.com,Shannonport,WI,Silver,2023-10-05,False
