employee_id,first_name,last_name,role,base_airport,hire_date,years_of_service,status
64,Robert,Ramirez,First Officer,MSP,2008-03-12,17.8,Active
65,Sandra,Ramos,First Officer,ATL,2002-05-07,23.7,Active
66,Andrea,Williams,First Officer,DTW,2020-05-03,5.7,Active
67,Mary,Novak,Lead Flight Attendant,SLC,2024-05-24,1.6,Active
68,Melinda,Martin,Flight Attendant,JFK,2022-04-01,3.8,Active
69,Jason,Morales,Flight Attendant,MSP,2009-04-14,16.7,Active
70,Nicholas,Galloway,Flight Attendant,BOS,1996-09-21,29.3,Active
71,Kristen,Gibson,Flight Attendant,LGA,2002-10-20,23.2,On Leave
72,Susan,Cowan,Flight Attendant,ATL,2007-06-11,18.6,Active
73,Jennifer,Moore,First Officer,BOS,2011-05-08,14.7,Active
74,Tanya,Riley,Flight Attendant,JFK,2003-09-23,22.3,Active
75,Julie,Brown,Flight Attendant,DTW,2010-12-13,15.1,Active
76,Wesley,Farrell,Lead Flight Attendant,LGA,2012-03-08,13.8,Active
77,Susan,Miller,First Officer,MSP,1999-08-19,26.4,Active
78,Brooke,Leonard,Flight Attendant,LGA,2000-06-19,25.5,Active
79,David,Zamora,First Officer,BOS,2001-12-02,24.1,Active
80,Brooke,Harvey,Flight Attendant,BOS,2002-03-30,23.8,Active
81,Brandy,Mills,Flight Attendant,RDU,2007-05-02,18.7,Active
82,James,Moran,Flight Attendant,SEA,2022-06-30,3.5,Active
83,Randy,Powers,Captain,LGA,2002-01-08,24.0,Active
84,Leslie,Walton,First Officer,RDU,2003-10-29,22.2,Active
85,Stephen,Murillo,Flight Attendant,BOS,1997-02-18,28.9,Active
86,Charles,Lewis,Flight Attendant,SLC,2024-04-20,1.7,Active
87,Sarah,Ibarra,Flight Attendant,BOS,2002-10-20,23.2,Active
88,Mike,Moore,Flight Attendant,LGA,2020-11-11,5.1,Active
89,Jade,Carr,Flight Attendant,MSP,2019-07-11,6.5,Active
90,Destiny,Smith,Flight Attendant,LGA,2024-01-15,2.0,Active
91,Kevin,Alvarado,Flight Attendant,LGA,2019-01-13,7.0,Active
92,Dennis,Wilson,Flight Attendant,LAX,2022-08-14,3.4,Active
93,Angela,Nelson,First Officer,JFK,1998-02-23,27.9,Active
94,Jennifer,Harris,Flight Attendant,LAX,2012-10-16,13.2,Active
95,Joseph,Freeman,Flight Attendant,BOS,2013-08-28,12.3,Active
96,Meghan,Davis,Flight Attendant,LGA,2021-08-18,4.4,Active
97,Joshua,Smith,First Officer,JFK,2007-06-17,18.5,Active
98,Dana,Green,Flight Attendant,LAX,2017-09-06,8.3,Active
99,Andrea,Patterson,Flight Attendant,LGA,2016-10-20,9.2,Active
100,Charles,Ware,Flight Attendant,DTW,1995-04-14,30.7,Active
101,Amy,Davenport,Flight Attendant,LAX,2021-08-03,4.4,Active
102,Earl,Anderson,Flight Attendant,JFK,2012-02-19,13.9,Active
103,Rachel,Flynn,Lead Flight Attendant,LAX,2004-01-25,21.9,Active
104,Rachel,Clark,Flight Attendant,SEA,2020-04-26,5.7,Active
105,Curtis,Deleon,Flight Attendant,SEA,2002-05-04,23.7,Active
106,Richard,Oliver,Flight Attendant,BOS,2021-01-03,5.0,Active
107,Sarah,Hancock,Flight Attendant,DTW,1999-07-19,26.5,Active
108,Lisa,Keith,Flight Attendant,MSP,2023-09-19,2.3,Active
109,Jill,Cook,Lead Flight Attendant,MSP,1995-09-24,30.3,Active
110,Leah,Shields,Flight Attendant,JFK,2022-05-19,3.6,Active
111,Joseph,Cobb,Flight Attendant,SLC,2018-11-06,7.2,Active
112,Monica,Garrison,Flight Attendant,MSP,1998-03-07,27.8,Active
113,Lisa,Stevens,Lead Flight Attendant,JFK,2001-07-17,24.5,Active
114,Laura,Perez,Flight Attendant,DTW,2003-12-23,22.0,Active
115,James,Murphy,Flight Attendant,SLC,1995-09-12,30.3,Active
116,Tammy,Ramirez,Flight Attendant,SLC,2020-06-04,5.6,Active
117,Ricardo,Zavala,Flight Attendant,SEA,2013-11-14,12.1,Active
118,Sheila,Wilson,Flight Attendant,BOS,2010-10-10,15.2,Active
119,Gregory,Estes,Flight Attendant,LGA,2023-07-18,2.5,Active
120,Daniel,Hamilton,First Officer,SLC,2002-10-23,23.2,Active
121,Lee,Obrien,Flight Attendant,ATL,2016-06-06,9.6,Active
122,Paul,Ray,Flight Attendant,JFK,2010-01-16,16.0,Active
123,Jeanne,Smith,Flight Attendant,SLC,2002-06-29,23.5,Active
124,Amanda,Ball,Lead Flight Attendant,SLC,2022-03-24,3.8,Active
125,Emily,Diaz,Flight Attendant,RDU,2016-10-28,9.2,Active
126,Elizabeth,Rivera,Flight Attendant,ATL,1997-01-21,28.9,Active
127,Melanie,Cortez,Flight Attendant,RDU,2004-03-26,21.8,Active
128,Kyle,Ortiz,Flight Attendant,SLC,2003-11-01,22.2,Active
129,Kenneth,Martinez,Flight Attendant,LGA,2006-11-02,19.2,Active
130,Shelby,Byrd,Flight Attendant,ATL,2007-05-15,18.6,Active
131,Christina,Turner,Flight Attendant,SEA,2021-07-22,4.4,Active
132,Aaron,Mitchell,Flight Attendant,LAX,2011-02-13,14.9,Active
133,Bethany,Pena,First Officer,SLC,2007-08-24,18.4,Active
134,Scott,Lewis,Flight Attendant,SLC,2008-09-04,17.3,Active
135,Rachel,Flynn,Flight Attendant,BOS,2008-12-01,17.1,Active
136,Christopher,Robertson,Flight Attendant,BOS,1999-12-29,26.0,Active
137,Matthew,Cardenas,Captain,RDU,2013-08-14,12.4,On Leave
138,Emily,Walker,Flight Attendant,JFK,2017-02-04,8.9,Active
139,Andrew,Sanchez,Flight Attendant,LGA,2000-11-09,25.1,Active
140,Melissa,Jones,Flight Attendant,JFK,2008-12-22,17.0,Active
141,Crystal,Lee,Flight Attendant,LAX,2007-03-11,18.8,Active
142,Troy,Sanchez,Lead Flight Attendant,SLC,2015-06-26,10.5,Active
143,Adam,Potter,Captain,LGA,2014-04-19,11.7,Active
144,Daniel,Coleman,Flight Attendant,ATL,2017-08-26,8.4,Active
145,Susan,Holmes,Flight Attendant,SLC,2000-03-04,25.8,Active
146,John,Charles,Lead Flight Attendant,SEA,1996-06-23,29.5,Active
147,Laurie,Contreras,Flight Attendant,SLC,2008-06-05,17.6,Active
148,Caitlin,Dodson,Flight Attendant,MSP,2024-01-22,1.9,Active
149,Cheyenne,Ball,First Officer,LGA,2021-03-22,4.8,Active
150,Maria,Kelley,Flight Attendant,MSP,2009-11-06,16.2,Active
151,Julia,Wells,Flight Attendant,RDU,2021-05-23,4.6,Active
152,John,Walsh,Flight Attendant,BOS,2002-08-16,23.4,Active
153,Adrienne,Sims,Flight Attendant,ATL,2017-07-11,8.5,Active
154,Chris,Mitchell,Flight Attendant,SLC,2003-01-29,22.9,Active
155,Luis,Fernandez,Flight Attendant,RDU,2002-12-29,23.0,Active
156,Jesse,Benson,Flight Attendant,RDU,1999-01-26,26.9,Active
157,Caleb,Russell,Flight Attendant,ATL,2015-10-12,10.2,Active
158,Robert,Clark,Flight Attendant,DTW,2010-12-17,15.0,Active
159,Rebecca,Silva,Flight Attendant,SLC,2007-05-12,18.6,Active
160,Melissa,Cannon,First Officer,MSP,2015-06-17,10.5,Active
161,Adam,Bell,Flight Attendant,LGA,2006-03-10,19.8,Active
162,Melissa,Ashley,Captain,MSP,2017-03-01,8.8,Active
163,Julie,Payne,Flight Attendant,ATL,2007-04-29,18.7,Active
164,Jeffrey,Robinson,Flight Attendant,LAX,2012-09-29,13.3,Active
165,Anthony,Rogers,Flight Attendant,SLC,2007-10-27,18.2,Active
166,Richard,Martin,First Officer,SEA,2014-12-23,11.0,Active
167,David,Dean,Flight Attendant,JFK,2008-09-30,17.3,Active
168,Phillip,Elliott,Lead Flight Attendant,LGA,1995-10-17,30.2,Active
169,Dawn,Taylor,Flight Attendant,SEA,1995-10-19,30.2,Active
170,Brent,Gray,First Officer,SEA,2008-07-31,17.4,Active
171,Mark,Juarez,Flight Attendant,SLC,2001-03-24,24.8,Active
172,Karen,Decker,First Officer,LAX,2006-02-25,19.8,Active
173,Christopher,Smith,Flight Attendant,SLC,2002-06-03,23.6,Active
174,Zoe,Bell,Captain,LAX,2010-11-13,15.1,Active
175,Kimberly,Pearson,First Officer,DTW,2014-02-15,11.9,Active
176,Stefanie,Gonzalez,First Officer,LGA,2017-03-09,8.8,Active
177,Elijah,Martinez,First Officer,ATL,1995-08-07,30.4,Active
178,Anne,Robinson,Flight Attendant,BOS,2014-09-10,11.3,Active
179,Katie,Jackson,Flight Attendant,ATL,2015-07-30,10.4,Active
180,Julie,Wilson,First Officer,SEA,2012-11-11,13.1,Active
181,Tami,Rodriguez,Flight Attendant,JFK,2019-02-06,6.9,Active
182,Larry,Byrd,Captain,DTW,1995-10-03,30.2,Active
183,Randy,Espinoza,Captain,ATL,2023-03-09,2.8,Active
184,Hannah,Burton,Flight Attendant,ATL,1997-03-27,28.8,Active
185,Kendra,Jefferson,Flight Attendant,JFK,1997-12-30,28.0,Active
186,David,Riggs,Lead Flight Attendant,JFK,2012-08-29,13.3,Active
187,Michael,Patterson,Flight Attendant,ATL,2018-01-08,8.0,Active
188,William,Peterson,Lead Flight Attendant,RDU,2005-11-25,20.1,Active
189,Lynn,Garcia,Flight Attendant,MSP,2019-12-28,6.0,Active
190,Cynthia,Poole,Flight Attendant,JFK,2023-04-06,2.7,Active
191,Ryan,Gross,Flight Attendant,MSP,2015-10-22,10.2,Active
192,Joseph,Morton,First Officer,LGA,2023-05-27,2.6,Active
193,Timothy,Graham,Flight Attendant,DTW,2010-10-31,15.2,Active
194,Joseph,Christian,Flight Attendant,RDU,2016-07-03,9.5,Active
195,Christopher,Keith,Captain,JFK,2019-06-09,6.6,Active
196,Steven,Bishop,Flight Attendant,LGA,2002-03-05,23.8,Active
197,Anthony,Rosales,First Officer,LAX,2006-02-23,19.9,Active
198,Jason,Salinas,Flight Attendant,SEA,2000-05-07,25.7,On Leave
199,Nicole,Haynes,Flight Attendant,MSP,2005-01-04,21.0,Active
200,Alejandro,Vaughan,Lead Flight Attendant,RDU,2003-02-16,22.9,Active
201,Jennifer,Freeman,Flight Attendant,RDU,1997-07-08,28.5,Active
202,Hannah,Brewer,Flight Attendant,DTW,2017-04-20,8.7,Active
203,Laura,Davis,Flight Attendant,MSP,2009-06-09,16.6,Active
204,Heather,Torres,Flight Attendant,LAX,2001-07-08,24.5,Active
205,Thomas,Schmidt,Captain,DTW,2012-02-09,13.9,Active
206,Julie,Rivera,Flight Attendant,RDU,2007-07-08,18.5,Active
207,Joseph,King,Flight Attendant,ATL,2015-09-04,10.3,Active
208,James,Wilson,Flight Attendant,LAX,1998-07-20,27.5,Active
209,Kathleen,Lopez,Flight Attendant,RDU,2010-10-06,15.2,Active
210,Todd,Hardy,Flight Attendant,SLC,2001-05-13,24.6,Active
211,Alicia,Campbell,Captain,SLC,2023-09-23,2.3,Active
212,James,Perez,Flight Attendant,JFK,1997-12-16,28.0,Active
213,Alexis,Ferguson,Flight Attendant,DTW,2000-04-11,25.7,Active
214,Terri,Tran,Flight Attendant,RDU,2003-01-26,22.9,Active
215,David,Oneill,Lead Flight Attendant,JFK,2015-07-08,10.5,Active
216,Monique,Andrews,Lead Flight Attendant,DTW,2009-06-10,16.6,Active
217,Scott,Lopez,Flight Attendant,LAX,2008-10-22,17.2,Active
218,Shelley,Woods,Flight Attendant,RDU,1996-07-05,29.5,Active
219,Richard,Jones,First Officer,DTW,2019-03-08,6.8,Active
220,Brian,Hernandez,Lead Flight Attendant,RDU,2013-07-07,12.5,Active
221,Kevin,Mcknight,Captain,ATL,2011-07-23,14.4,Active
222,Kathy,Obrien,Flight Attendant,SEA,1998-06-26,27.5,Active
223,Jeremiah,Mills,Flight Attendant,BOS,2018-04-05,7.7,Active
224,Scott,Dalton,Captain,SLC,2008-04-02,17.7,Active
225,Kevin,Oliver,Flight Attendant,SEA,2024-02-14,1.9,Active
226,Jody,Meza,Flight Attendant,DTW,2012-12-06,13.1,Active
227,Jason,Guerrero,Flight Attendant,BOS,2001-02-10,24.9,Active
228,Glenn,Jones,Flight Attendant,SEA,1999-08-15,26.4,Active
229,Shannon,Wheeler,Flight Attendant,ATL,1995-01-29,30.9,Active
230,Jesse,Mann,Captain,SLC,2003-07-27,22.4,Active
231,Shawn,Mcdaniel,First Officer,LGA,2015-09-05,10.3,Active
232,Kristin,Weber,Flight Attendant,DTW,2022-03-06,3.8,Active
233,Sarah,Coleman,Flight Attendant,SLC,2014-06-13,11.6,Active
234,Deborah,Kerr,Flight Attendant,SEA,2011-01-07,15.0,Active
235,Charles,Martin,Flight Attendant,LGA,2019-04-26,6.7,Active
236,Kaitlyn,Carroll,Flight Attendant,MSP,2004-01-18,22.0,Active
237,David,Barker,Flight Attendant,SLC,2003-06-28,22.5,Active
238,Sherri,Mason,Flight Attendant,MSP,2015-08-01,10.4,Active
239,Christopher,Williams,Captain,BOS,2009-07-11,16.5,Active
240,Marcus,Wright,Flight Attendant,LAX,2007-09-16,18.3,Active
241,Suzanne,Huff,Flight Attendant,RDU,1997-09-08,28.3,Active
242,Stephanie,Key,Captain,BOS,2011-12-02,14.1,Active
243,Joseph,Williams,Lead Flight Attendant,LGA,2014-10-10,11.2,Active
244,Thomas,Pearson,Flight Attendant,LGA,2017-03-31,8.8,Active
245,Howard,Richards,Flight Attendant,SLC,2021-12-12,4.1,Active
246,Travis,Davis,Flight Attendant,RDU,2013-09-03,12.3,Active
247,Mathew,Santiago,Flight Attendant,LAX,2005-03-27,20.8,Active
248,Mark,Steele,Flight Attendant,SEA,2020-03-25,5.8,Active
249,Sierra,Cervantes,First Officer,JFK,2003-06-24,22.5,Active
250,Shawn,Edwards,Flight Attendant,DTW,2011-03-08,14.8,Active
251,Tara,Powell,Flight Attendant,LAX,2004-07-05,21.5,Active
252,Vanessa,Sandoval,Lead Flight Attendant,LGA,2010-02-19,15.9,Active
253,Robert,Lopez,Flight Attendant,JFK,2010-12-17,15.0,Active
254,Katherine,Garrett,Flight Attendant,LGA,2005-08-22,20.4,Active
255,James,Dunn,Flight Attendant,RDU,2017-05-10,8.6,Active
256,Samuel,Wolfe,Captain,RDU,2022-04-15,3.7,Active
257,Teresa,Lynch,Captain,SLC,1998-07-28,27.4,Active
258,Eric,Pierce,Flight Attendant,SEA,2002-01-15,24.0,Active
259,Christopher,Gay,Flight Attendant,ATL,2011-03-31,14.8,Inactive
260,Steven,Wilson,Lead Flight Attendant,LGA,2021-11-08,4.1,Active
261,Tyrone,Moran,Flight Attendant,SEA,2019-06-24,6.5,Active
262,Joshua,Davenport,Flight Attendant,MSP,2009-12-20,16.0,Active
263,John,Arnold,Flight Attendant,LGA,2023-11-01,2.2,Active
264,Sandra,Romero,Flight Attendant,JFK,2006-04-14,19.7,Active
265,Michelle,Hill,Flight Attendant,SEA,2020-11-12,5.1,Active
266,Robert,Villa,Captain,LAX,2018-03-28,7.8,Active
267,Lori,Campbell,Lead Flight Attendant,SEA,2009-12-08,16.1,Active
268,Brenda,Duarte,First Officer,LAX,2003-10-13,22.2,Active
269,Edgar,Ryan,Captain,RDU,2009-05-27,16.6,On Leave
270,Andrea,Daniels,Flight Attendant,LAX,2005-02-25,20.8,Active
271,Marc,Lopez,Flight Attendant,BOS,2008-05-24,17.6,Active
272,Ashley,Hall,Flight Attendant,ATL,2015-07-08,10.5,Active
273,Bradley,Garner,Captain,BOS,2017-10-24,8.2,Active
274,Lisa,Hughes,Flight Attendant,JFK,2015-09-29,10.3,Active
275,Lori,Pollard,Flight Attendant,DTW,2014-07-10,11.5,Active
276,Benjamin,Shaw,First Officer,JFK,2009-07-27,16.4,Inactive
277,Molly,Sawyer,First Officer,SLC,2012-05-11,13.6,Active
278,Alicia,Bryant,Flight Attendant,LGA,2007-12-14,18.1,Active
279,Robert,Pena,Flight Attendant,BOS,2016-04-01,9.8,Active
280,Terrance,Costa,First Officer,JFK,1999-07-17,26.5,Active
281,Heather,Santos,First Officer,LGA,2004-12-16,21.0,Active
282,Melissa,Villarreal,Lead Flight Attendant,LGA,2020-01-21,5.9,Active
283,Levi,Higgins,Flight Attendant,LGA,2006-03-06,19.8,Active
284,Monique,Johnson,Flight Attendant,ATL,2017-05-04,8.7,Inactive
285,Crystal,Mccall,First Officer,DTW,1997-01-05,29.0,Active
286,Julie,Hamilton,Flight Attendant,LAX,2024-05-04,1.7,Active
287,Cynthia,Brennan,First Officer,JFK,1997-11-23,28.1,Active
288,Heather,Berger,First Officer,SLC,2008-01-19,18.0,Active
289,Laura,Carter,Flight Attendant,JFK,1996-05-09,29.6,Active
290,Dustin,Schmidt,Flight Attendant,LAX,2006-01-10,20.0,Active
291,Laura,Jackson,Flight Attendant,RDU,2011-08-25,14.4,Active
292,Monica,Harvey,First Officer,SEA,1997-04-28,28.7,Active
293,Roberta,Thomas,Flight Attendant,LGA,2002-01-31,23.9,Active
294,Jonathan,Scott,Flight Attendant,BOS,2008-07-25,17.4,Active
295,Linda,Santana,Flight Attendant,BOS,1995-04-11,30.7,Active
296,Eric,Alexander,Flight Attendant,SEA,2014-12-07,11.1,Active
297,Briana,Fowler,First Officer,SLC,2005-03-01,20.8,Active
298,John,Bruce,Flight Attendant,BOS,2007-06-25,18.5,Active
299,Paul,Webb,First Officer,SEA,2000-11-10,25.1,Active
300,Ashley,Andrews,Captain,SEA,2001-12-23,24.0,Active
301,Kenneth,Spence,Flight Attendant,LGA,2024-03-14,1.8,Active
302,Joshua,Knight,Flight Attendant,LAX,2014-05-13,11.6,Active
303,Julie,Williams,Lead Flight Attendant,LAX,2015-03-05,10.8,Active
304,Tyler,Strong,Flight Attendant,LAX,2012-11-02,13.2,Active
305,Lauren,Lawson,Flight Attendant,JFK,2003-06-02,22.6,Active
306,Dana,Oliver,Flight Attendant,DTW,2005-05-13,20.6,Active
307,Jennifer,Hopkins,Flight Attendant,JFK,2014-12-08,11.1,Active
308,Courtney,Berger,Flight Attendant,SEA,2019-08-30,6.3,Active
309,Kyle,Alexander,Flight Attendant,DTW,2014-01-05,12.0,Active
310,Jessica,Davis,Flight Attendant,BOS,2012-01-18,14.0,Active
311,Julie,Thompson,Flight Attendant,MSP,2003-09-06,22.3,Active
312,Amber,Mata,Captain,JFK,1998-11-20,27.1,Active
313,Robin,Rivas,First Officer,JFK,2010-08-13,15.4,Active
314,Makayla,Olson,Flight Attendant,LGA,2002-07-23,23.4,Active
315,Julie,Morgan,Flight Attendant,LAX,2018-09-21,7.3,Active
316,Sydney,Taylor,Flight Attendant,RDU,1998-05-22,27.6,Active
317,Michelle,Ramsey,Lead Flight Attendant,BOS,2023-06-07,2.6,Active
318,Tammy,Ballard,Flight Attendant,RDU,2023-10-29,2.2,Active
319,Krystal,Smith,First Officer,LAX,2005-10-04,20.2,Active
320,Shawn,Chambers,Flight Attendant,DTW,2010-10-13,15.2,Active
321,Brenda,Carson,Captain,JFK,2014-10-11,11.2,Active
322,Daniel,Hall,Flight Attendant,LAX,2022-08-29,3.3,On Leave
323,Nicole,Hoffman,Lead Flight Attendant,JFK,1995-09-26,30.3,Active
324,Jeffrey,Brown,Flight Attendant,SEA,2021-12-03,4.1,Active
325,Regina,Turner,Flight Attendant,MSP,2019-03-27,6.8,Active
326,Donald,Shah,Captain,LAX,2007-01-04,19.0,Active
327,Travis,Davis,Flight Attendant,ATL,2003-12-15,22.0,Active
328,Derek,Chavez,Flight Attendant,BOS,2021-02-05,4.9,Active
329,Julia,Bautista,Flight Attendant,MSP,2014-09-21,11.3,Active
330,Julia,Moore,Flight Attendant,LAX,2007-05-01,18.7,On Leave
331,Corey,Burns,Flight Attendant,ATL,2007-03-16,18.8,Active
332,Stephanie,Johnson,First Officer,ATL,2007-01-02,19.0,Active
333,Scott,Sampson,Captain,BOS,2005-11-24,20.1,Active
334,Cory,Jennings,Lead Flight Attendant,LAX,2020-02-29,5.8,Active
335,Tiffany,Howard,Flight Attendant,MSP,2011-01-06,15.0,Active
336,James,Martinez,Flight Attendant,LGA,2006-09-17,19.3,Active
337,Shawn,Bates,Flight Attendant,DTW,2019-12-12,6.1,Active
338,Carla,Smith,Flight Attendant,ATL,2013-11-16,12.1,Active
339,John,Martinez,Flight Attendant,RDU,2018-02-22,7.9,Active
340,Casey,Hubbard,First Officer,LAX,2011-08-10,14.4,Active
341,Jason,Kane,Flight Attendant,LGA,2001-02-03,24.9,Active
342,Dylan,Lester,Lead Flight Attendant,LGA,2004-08-31,21.3,Active
343,Michele,Thomas,First Officer,LGA,1995-01-31,30.9,Active
344,John,Thompson,Flight Attendant,SEA,1998-10-28,27.2,Active
345,Anthony,Smith,Flight Attendant,MSP,2014-06-12,11.6,Active
346,John,Morris,Lead Flight Attendant,ATL,2018-03-28,7.8,On Leave
347,Brian,Harmon,Flight Attendant,LAX,2000-02-16,25.9,Active
348,Julie,Alvarez,First Officer,LGA,2010-06-23,15.5,Active
349,William,Rodriguez,Captain,DTW,2017-11-20,8.1,Active
350,Sonia,Williams,Flight Attendant,DTW,2009-10-27,16.2,Active
351,Michelle,Boyd,Flight Attendant,SLC,2018-01-14,8.0,On Leave
352,Tamara,Brown,First Officer,LGA,2008-06-22,17.5,Active
353,Richard,Parks,Flight Attendant,DTW,2009-02-02,16.9,Active
354,Renee,Jones,Flight Attendant,RDU,2009-06-03,16.6,Active
355,Charlene,Jones,Flight Attendant,ATL,1997-05-18,28.6,Active
356,Cynthia,Kelley,Captain,MSP,2003-02-02,22.9,Active
357,Virginia,Schmidt,Flight Attendant,MSP,2004-07-25,21.4,Active
358,Catherine,Garcia,Flight Attendant,RDU,2008-05-06,17.7,Active
359,Melissa,Curtis,First Officer,LAX,2015-08-23,10.4,Active
360,Jennifer,Lewis,Flight Attendant,DTW,2017-08-14,8.4,Active
361,Jeremy,Morgan,Flight Attendant,JFK,2008-04-13,17.7,Active
362,Robert,Davis,Flight Attendant,DTW,2008-05-04,17.7,Active
363,Elizabeth,Brooks,Flight Attendant,BOS,2007-07-22,18.4,Active
364,Sandra,Jones,Flight Attendant,SLC,1999-06-28,26.5,Active
365,Christopher,Davis,Captain,RDU,2019-06-20,6.5,Active
366,Lisa,Hawkins,Flight Attendant,RDU,2016-09-24,9.3,Active
367,Anna,Rivera,Lead Flight Attendant,RDU,2012-04-01,13.8,Active
368,Michael,Ortega,Flight Attendant,JFK,1998-08-06,27.4,Active
369,Miranda,Griffith,Captain,BOS,2017-01-26,8.9,Active
370,Caroline,Bell,Captain,SLC,2023-06-27,2.5,Active
371,Jason,Douglas,Flight Attendant,LGA,2012-01-01,14.0,Active
372,Daniel,Bruce,Flight Attendant,LGA,2001-08-06,24.4,Active
373,Kathryn,Andrews,Flight Attendant,LAX,2005-10-24,20.2,Active
374,Megan,Villegas,Captain,RDU,2018-09-29,7.3,Active
375,Christina,Day,Flight Attendant,SLC,2019-01-28,6.9,Active
376,Sarah,Gallegos,Lead Flight Attendant,LAX,1995-10-10,30.2,Active
377,Henry,Park,Captain,RDU,2002-11-13,23.1,Active
378,Matthew,Smith,First Officer,RDU,2004-02-02,21.9,Active
379,Ashley,Morales,Flight Attendant,ATL,2020-08-02,5.4,Active
